mpg,cylinders,acc,year
25.5,4,15.8,77
30.5,4,17,77
33.5,4,15.9,77
30,4,16.4,77
30.5,4,14.1,77
22,6,14.5,77
21.5,4,12.8,77
21.5,3,13.5,77
43.1,4,21.5,78
36.1,4,14.4,78
32.8,4,19.4,78
39.4,4,18.6,78
36.1,4,16.4,78
19.9,8,15.5,78
19.4,8,13.2,78
20.2,8,12.8,78
19.2,6,19.2,78
20.5,6,18.2,78
20.2,6,15.8,78
25.1,4,15.4,78
20.5,6,17.2,78
19.4,6,17.2,78
20.6,6,15.8,78
20.8,6,16.7,78
18.6,6,18.7,78
18.1,6,15.1,78
19.2,8,13.2,78
17.7,6,13.4,78
18.1,8,11.2,78
17.5,8,13.7,78
30,4,16.5,78
27.5,4,14.2,78
27.2,4,14.7,78
30.9,4,14.5,78
21.1,4,14.8,78
23.2,4,16.7,78
23.8,4,17.6,78
23.9,4,14.9,78
20.3,5,15.9,78
17,6,13.6,78
21.6,4,15.7,78
16.2,6,15.8,78
31.5,4,14.9,78
29.5,4,16.6,78
21.5,6,15.4,79
19.8,6,18.2,79
22.3,4,17.3,79
20.2,6,18.2,79
20.6,6,16.6,79
17,8,15.4,79
17.6,8,13.4,79
16.5,8,13.2,79
18.2,8,15.2,79
16.9,8,14.9,79
15.5,8,14.3,79
19.2,8,15,79
18.5,8,13,79
31.9,4,14,79
34.1,4,15.2,79
35.7,4,14.4,79
27.4,4,15,79
25.4,5,20.1,79
23,8,17.4,79
27.2,4,24.8,79
23.9,8,22.2,79
34.2,4,13.2,79
34.5,4,14.9,79
31.8,4,19.2,79
37.3,4,14.7,79
28.4,4,16,79
28.8,6,11.3,79
26.8,6,12.9,79
33.5,4,13.2,79
41.5,4,14.7,80
38.1,4,18.8,80
32.1,4,15.5,80
37.2,4,16.4,80
28,4,16.5,80
26.4,4,18.1,80
24.3,4,20.1,80
19.1,6,18.7,80
34.3,4,15.8,80
29.8,4,15.5,80
31.3,4,17.5,80
37,4,15,80
32.2,4,15.2,80
46.6,4,17.9,80
27.9,4,14.4,80
40.8,4,19.2,80
44.3,4,21.7,80
43.4,4,23.7,80
36.4,5,19.9,80
30,4,21.8,80
44.6,4,13.8,80
33.8,4,18,80
29.8,4,15.3,80
32.7,6,11.4,80
23.7,3,12.5,80
35,4,15.1,80
32.4,4,17,80
27.2,4,15.7,81
26.6,4,16.4,81
25.8,4,14.4,81
23.5,6,12.6,81
30,4,12.9,81
39.1,4,16.9,81
39,4,16.4,81
35.1,4,16.1,81
32.3,4,17.8,81
37,4,19.4,81
37.7,4,17.3,81
34.1,4,16,81
34.7,4,14.9,81
34.4,4,16.2,81
29.9,4,20.7,81
33,4,14.2,81
33.7,4,14.4,81
32.4,4,16.8,81
32.9,4,14.8,81
31.6,4,18.3,81
28.1,4,20.4,81
30.7,6,19.6,81
25.4,6,12.6,81
24.2,6,13.8,81
22.4,6,15.8,81
26.6,8,19,81
20.2,6,17.1,81
17.6,6,16.6,81
28,4,19.6,82
27,4,18.6,82
34,4,18,82
31,4,16.2,82
29,4,16,82
27,4,18,82
24,4,16.4,82
36,4,15.3,82
37,4,18.2,82
31,4,17.6,82
38,4,14.7,82
36,4,17.3,82
36,4,14.5,82
36,4,14.5,82
34,4,16.9,82
38,4,15,82
32,4,15.7,82
38,4,16.2,82
25,6,16.4,82
38,6,17,82
26,4,14.5,82
22,6,14.7,82
32,4,13.9,82
36,4,13,82
27,4,17.3,82
27,4,15.6,82
44,4,24.6,82
32,4,11.6,82
28,4,18.6,82
31,4,19.4,82
